cluster,x,y,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma_x_fit,sigma_y_fit,theta,offset,amp_snr,x_snr,y_snr,sigma_x_snr,sigma_y_snr,theta_snr,offset_snr,snr,masked,noise_ps,hits_ps,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type,RA,DEC,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD,MJDRMS,MJDSTART,MJDSTOP,Separation
ACT-CLJ0200.3+0019,258.0,170.0,2.0,4.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0017951223048511729,257.99999971808677,169.99999996461386,2.9999992992161078,2.9999996763827275,0.0,-1.2631529604229116E-6,4.8903050234393115,257.7966071494066,170.39833919416975,2.4667391985053873,3.10368559057216,-0.40921255286188174,-0.0036153667379541054,5.316007137298584,0.0,-7.384219788946211E-4,3.161290951538831E-4,,,,,,,,,,,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,4.1134546542533466
ACT-CLJ0201.6-0211,129.0,168.0,2.0,4.0,30.443906845127803,-2.199287775487005,3.2522290062370887E-4,8.949901386591511E-4,128.99999987645344,167.99999997945403,2.9999999690034405,2.999999966217852,0.0,-9.089183685952178E-6,5.768315706846347,128.06140471690506,168.5158202132139,3.113434583204358,2.3749226205412173,0.6911816955097807,-0.003056140437684087,5.7801971435546875,0.0,1.5454459935426712E-4,1.442150678485632E-4,0.0,ACT-CLJ0201.6-0211,3.809692416819E-4,1.0293998037451004,0.0122642541483572,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,30.44395288559313,-2.199508316059458,0.014053002,28.25,58.386692,0.15038915,7.57,4.3,72.4,9.38,7.62,65.9,02015-01570E,1,6.1096854,16.626408,g,1,6.147485,14.378,1995.9711,2450072.939852224,6.994525000061182,2450062.6842013896,2450078.6424652785,0.8110373084166548
ACT-CLJ0201.6-0211,155.0,172.0,2.0,4.0,30.42945174745773,-2.19706566080404,1.1835810554814287E-4,7.906403729232597E-4,154.99999992632203,171.99999992843243,2.999999688810475,2.9999998758223576,0.0,-9.049864036666507E-6,5.600884488727709,154.89965868458614,171.51114307463803,1.9317741337904664,3.4427237301962967,-0.03907796675805591,-0.0027297984447315175,6.650371074676514,0.0,5.186283669900149E-5,1.3357217540033162E-4,0.0,ACT-CLJ0201.6-0211,3.809692416819E-4,1.0293998037451004,0.0122642541483572,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,30.429674375133217,-2.1966695186856713,0.014053002,12.17,12.782585,0.15029715,1.84,0.54,35.7,6.59,5.51,6.5,02015-02230T,3,0.31494173,16.20037,g,2,0.18760903,14.977,1995.9707,2450072.8067271556,7.16795122643869,2450062.6842013896,2450078.6424652785,1.6356002078160368
ACT-CLJ0201.6-0211,127.0,168.0,6.0,7.0,30.445018775197955,-2.1992877614195963,3.4432011850966715E-4,9.598892866416399E-4,127.00000010081958,168.00000003548345,2.999999352886698,2.9999993089087247,0.0,-9.136673355845317E-6,5.763200171344089,128.05654654653293,168.5129560527557,3.123142599884148,2.3679648772274033,0.6861569659648841,-0.0030508025531042213,5.909770488739014,0.0,7.492180884582922E-5,1.455936871934682E-4,0.0,ACT-CLJ0201.6-0211,3.809692416819E-4,1.0293998037451004,0.0122642541483572,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0,30.449109678416487,-2.1979943619412423,0.014053002,14.79,42.793346,0.15066756,10.93,5.16,77.9,12.21,8.19,76.2,02015-01570E,1,7.6100736,19.937408,g,0,99.0,99.0,1995.9708,2450072.8292353577,6.971446395509158,2450062.6842013896,2450078.6424652785,15.435454970125436
ACT-CLJ0204.5+0321,197.0,98.0,5.0,6.0,31.12194504053976,3.3251446253311063,7.07296371386174E-4,0.004128650655790963,196.9999971642074,97.99999893319976,2.99999680361332,2.9999963851445566,0.0,1.117478306407412E-5,16.762711164059958,196.20792875249018,98.10914054538445,2.713235323390577,2.8525569512207984,-0.35695608853664773,0.026322624810666405,17.8514404296875,0.0,-7.93379032984376E-4,2.27568787522614E-4,6.0,ACT-CLJ0204.5+0321,3.832991980692E-4,1.0547440651872817,0.0278102703080464,0.0019059781003116,2870.7950319973343,0.0537853979112755,1.087884164913207,20.0,31.121548632393413,3.3261416163507143,0.014053002,3.35,2.6367743,0.108365394,0.0,0.0,132.2,5.91,4.6,161.3,02045+03151T,1,0.39154938,16.714563,g,1,0.39634115,14.344,2009.1807,2454898.4554805704,5.302346639081592E-4,2454898.4553587968,2454898.4598263893,3.8615797278731234
ACT-CLJ0207.2+0536,166.0,165.0,2.0,4.0,31.804888365975508,5.608371374384749,4.848136924721859E-5,8.352177373403672E-4,165.99999999761343,165.00000000445644,3.000000032625075,3.0000000042017976,0.0,6.545041848739942E-6,3.8886218014256952,165.60040505251675,164.94239071299302,6.610526777173574,2.9612378741185243,-0.9702748419103674,0.026805933887047512,6.527209281921387,0.0,-5.52571436855942E-5,1.2322749535087496E-4,14.0,ACT-CLJ0207.2+0536,3.729012736959E-4,1.0009932567405793,0.0693674309728648,0.0,2953.3516904832222,0.0784610378993854,1.0552710779505996,20.0,31.80264485114333,5.609247178982898,0.014053002,82.3,104.507454,0.13529593,4.12,1.81,146.8,7.47,5.87,162.0,02075+05256T,3,0.49430647,16.629662,g,1,7.4630365,15.175,2009.24,2454920.0804509567,1.4646517175850235,2454918.4326736117,2454921.3854166674,8.634232297274508
ACT-CLJ0211.1-0453,237.0,175.0,2.0,4.0,32.762136070610794,-4.892156211100765,7.380640288815305E-4,0.0011767577788727333,237.0000000310151,174.9999998870143,3.0000000835136293,2.9999998530694905,0.0,4.146442012992491E-6,4.520004072274213,239.8141232179278,175.97881221263754,4.873630092605974,2.8603252166040822,-0.6433119309622436,-0.002584581780798376,5.763979434967041,0.0,-5.591385706793517E-5,1.9679403339978307E-4,22.0,ACT-CLJ0211.1-0453,3.148741947212E-4,0.964358352053424,0.0102458596488823,0.0085733882030178,3058.8944742154363,0.0016282663420336,1.018558218288384,20.0,32.76190735403119,-4.893836089842837,0.014053002,2.42,1.7620276,0.15638201,0.0,0.0,62.6,5.78,4.34,41.9,02105-04595T,2,0.7540587,15.77146,g,1,0.749829,14.454,1997.391,2450592.2015778865,0.011202629580572231,2450592.19425926,2450592.2309027785,6.1029538551275575
ACT-CLJ0212.5-0037,261.0,162.0,2.0,4.0,33.09254155486352,-0.6296690781455123,9.599308169926349E-4,0.0015760039255238545,261.00000030175073,161.99999995158748,2.9999982243144214,2.9999966342250106,0.0,6.489424776935459E-6,5.741476287125445,261.7412497092281,162.49340816610882,2.55105845007216,1.6035993248721738,0.25240454698770176,-0.004148907380014133,4.775333881378174,0.0,0.0014240778982639313,3.2285088673233986E-4,25.0,ACT-CLJ0212.5-0037,3.314828358398E-4,1.0052232937145296,-0.0177699683884262,0.0066681908245694,2764.577437563952,-0.0086756288457232,1.1262618760002336,20.0,33.09209577398253,-0.6307027628884451,0.014053002,1.06,1.2432098,0.13199282,4.97,0.0,127.8,7.7,5.25,138.3,02135-00390Z,1,5.497745,19.696016,g,0,99.0,99.0,2002.5709,2452483.874554865,2149.6967538999015,2450031.774247686,2454927.418171297,4.052520339899935
ACT-CLJ0215.4+0030,258.0,174.0,2.0,4.0,33.817125042245664,0.5143619400351535,9.380860332231013E-4,0.0014985791742415273,257.99999987177847,173.9999997124174,2.9999970672885006,2.9999961836278737,0.0,5.2967294568389876E-6,3.778227002676626,259.88772426113434,174.65163484868296,5.528604263714736,2.0560299646424043,-0.36763286748988805,0.0029357283471894194,5.623885631561279,0.0,-9.533291449770331E-5,3.1005701748654246E-4,28.0,ACT-CLJ0215.4+0030,3.089679832579E-4,0.9812960366899935,0.0183635705160957,0.0,3016.5315272947178,0.017053591582983,1.0350100805878688,20.0,33.81790924122852,0.5119916738752434,0.014053002,53.46,67.34493,0.10063976,4.09,1.58,139.3,7.39,5.9,157.3,02165+00390Z,1,6.4379435,21.13709,g,0,99.0,99.0,1999.0303,2451190.53967389,1235.932202061454,2450010.833495371,2452492.0110995374,8.987809618700753
ACT-CLJ0219.8+0022,199.0,85.0,4.0,7.0,34.93952330321697,0.3297546054223195,8.283363179689573E-4,0.0014461888369727948,199.00000000749802,84.99999982867453,3.0000000082872647,3.000000171597526,0.0,-3.980113076872355E-6,1.9495492367365663,192.35164427335502,85.34309783341428,19.004089017657464,5.1579417455088015,0.2662736305896408,-0.016998230511786956,3.4406824111938477,0.0,-1.659108093008399E-4,3.2349544926546514E-4,39.0,ACT-CLJ0219.8+0022,5.136267750933E-4,1.0762671269087762,0.0465039030467764,0.0104785855814662,2787.8549951426967,0.0128107294922405,1.113563664806559,20.0,34.93917017085074,0.3285083268176505,0.014053002,2.76,3.1778488,0.10026416,3.92,0.0,53.5,7.11,5.6,35.5,02195+00130Z,3,0.81557107,19.906,s,0,99.0,99.0,1999.1913,2451249.3042387473,1230.4666426639537,2450013.829907408,2452492.0129513894,4.663228165995118
ACT-CLJ0219.9+0246,100.0,76.0,2.0,6.0,35.01441075376511,2.734361992629555,0.0010279875990118876,0.0024496246255337794,99.99999893271915,75.9999997111258,2.999999447729447,2.9999990853857406,0.0,5.969087584925086E-6,3.286557118325608,98.1393610935056,78.72462427427541,2.9200393853914743,7.82767710271408,-0.6250511303803217,0.009335240712006861,6.000179767608643,0.0,3.6123531754128635E-4,4.316547710914165E-4,41.0,ACT-CLJ0219.9+0246,4.326609816479E-4,0.9688069300398944,0.01153931908416,0.0,3035.793271923992,-0.0150181574085095,1.0114600678293149,20.0,35.01406661019451,2.7345639912971005,0.03963742,8.27,8.280312,0.111510366,1.63,0.0,104.4,6.2,5.58,168.4,02195+02490T,3,0.5455651,17.95214,g,1,0.31478047,15.036,2009.2982,2454941.351602409,12.80437483099487,2454885.5042013894,2454947.3360995376,1.4353516621827418
ACT-CLJ0220.9-0332,220.0,153.0,2.0,3.0,35.205779505939,-3.553950824782513,5.691142227861941E-4,0.002186936056260967,219.99999993376818,153.00000001217796,2.9999997052071223,2.999998864705291,0.0,-7.931512795568249E-7,7.769471570143875,220.66528655919322,153.67534462084993,4.151817042179195,2.60894092243457,-0.2193489773121081,-0.009552240827794326,9.371405601501465,0.0,-2.73592013400048E-4,2.142685989383608E-4,42.0,ACT-CLJ0220.9-0332,4.582834158876E-4,0.9928162276822812,-0.0049393073958535,0.0057163000295342,2968.0351024413308,-0.030389325356677,1.052258448161119,20.0,35.20618617116863,-3.5544611799259007,0.014053002,59.81,100.791306,0.12089143,6.94,1.83,75.0,8.85,6.58,70.2,02195-03412T,1,0.7268326,19.116083,g,0,99.0,99.0,2008.6233,2454694.6325636697,989.3834006049844,2450592.292870371,2454946.3328587967,2.3474744588345207
ACT-CLJ0220.9-0332,175.0,145.0,2.0,6.0,35.23082763912718,-3.5583958036915297,2.0750931930126523E-4,7.560007289821763E-4,174.9999999302347,144.9999999404043,2.9999999422225025,2.999999925190019,0.0,-2.2333825790211906E-8,3.657678760567638,174.61880798276513,145.3481467460301,2.931694494964113,4.296516278746193,-0.3699220372127918,-0.007279408476441621,5.049036502838135,0.0,1.0120123624801636E-4,1.5456350229214877E-4,42.0,ACT-CLJ0220.9-0332,4.582834158876E-4,0.9928162276822812,-0.0049393073958535,0.0057163000295342,2968.0351024413308,-0.030389325356677,1.052258448161119,20.0,35.23117100315254,-3.5584111637002835,0.014053002,17.37,18.303434,0.12037307,1.92,0.0,91.4,6.35,5.73,179.2,02195-03412T,2,0.67627513,20.190788,s,0,99.0,99.0,2008.864,2454782.7214225344,794.4373692574461,2450592.292870371,2454946.3328587967,1.2349659041196597
ACT-CLJ0222.2+0520,259.0,101.0,4.0,5.0,35.516714580599064,5.303280793247004,0.0011110588354275377,0.0034147663536780756,258.9999990308575,101.00000107835389,2.9999768345727533,2.9999664618976336,0.0,1.3814294196681808E-6,3.8959151590941827,260.482818623153,100.89301185960807,8.05707989550932,3.687512977261515,-0.3031595623438659,0.004408981502782967,4.631205081939697,0.0,6.744271377101541E-4,5.492513300850987E-4,46.0,ACT-CLJ0222.2+0520,4.515640014725E-4,0.9545715590452568,-0.0047822495919104,0.0,3039.6488254656388,0.0228512174930762,1.026461982108582,20.0,35.51935034461371,5.302385989481265,0.014053002,13.12,12.875339,0.12801869,1.21,0.0,75.4,6.17,5.49,8.5,02225+05256X,0,99.0,99.0,-,0,99.0,99.0,2009.2565,2454926.111818572,18.134458515330873,2454907.4305902785,2454961.3048495376,9.982188053543977
ACT-CLJ0229.6-0336,113.0,137.0,3.0,4.0,37.43711638909163,-3.6238235246321993,5.33383152212123E-4,0.002235845219760995,113.00000000172228,136.99999996762995,3.0000003775128072,3.000000322245528,0.0,1.8543962249605925E-5,4.751592908847869,114.26611957711349,138.42119234019663,7.18247738490515,5.087402239917237,0.46639553622911767,0.009390602909840567,7.223400592803955,0.0,-1.2750731548294425E-4,2.5368487695232034E-4,55.0,ACT-CLJ0229.6-0336,5.826205048756E-4,1.0210061588510917,0.0338701328931484,0.0152415790275872,2905.983526190038,0.0138177705299789,1.0670816907166936,20.0,37.436884972959774,-3.6257303619335755,0.13890071,1.8,1.7303226,0.10493348,1.46,0.0,90.9,5.95,5.59,178.4,02285-03412T,2,0.76508164,17.91958,s,1,0.80139154,15.247,2009.2495,2454923.5858310675,15.930152881852152,2454912.436493056,2454946.3496527784,6.914781813780192
ACT-CLJ0231.7-0453,219.0,164.0,2.0,6.0,37.9035855570199,-4.883278495379112,5.530276689527082E-4,0.001760705111061355,218.99999999467119,164.00000001187732,2.9999998859192023,2.9999998865822834,0.0,5.9546847148190615E-6,4.774924026988965,219.6480659946923,163.60455125465873,3.4833505760906016,3.8851233029191796,-0.5504156910366804,0.002333577717321092,5.138631343841553,0.0,-8.243693446274847E-5,2.674618153832853E-4,57.0,ACT-CLJ0231.7-0453,5.304322444124E-4,0.9617526469176336,-0.0095353407151283,0.0085736332199708,3042.038509194208,-0.0094540727613788,1.0172589854705978,20.0,37.90565451607609,-4.8869640657641575,0.014053002,21.89,36.264164,0.17213915,5.49,3.85,66.0,7.96,7.2,41.1,02315-04595T,0,99.0,99.0,-,0,99.0,99.0,2009.236,2454918.6192825786,10.555905091942668,2454914.434756945,2454950.338657408,15.202479953823325
ACT-CLJ0231.7-0453,187.0,171.0,3.0,4.0,37.92142817829151,-4.879390210344938,2.5763639517678523E-4,0.0017153326957212536,186.99999986011724,171.00000003609222,2.999999955039862,3.0000000827451845,0.0,5.999266985097768E-6,6.933882164469888,186.8553265252653,171.58183506895355,2.223202628449228,4.232007972345899,0.6266550222085188,0.0022916029106146906,8.654935836791992,0.0,-5.478985840454698E-4,2.0800373749807477E-4,57.0,ACT-CLJ0231.7-0453,5.304322444124E-4,0.9617526469176336,-0.0095353407151283,0.0085736332199708,3042.038509194208,-0.0094540727613788,1.0172589854705978,20.0,37.92095072472233,-4.882188909760672,0.014053002,29.78,58.027134,0.1721851,8.69,2.75,145.3,10.63,6.33,149.6,02315-04595T,3,2.068249,19.57348,g,1,2.6141174,14.333,2009.2383,2454919.480184643,11.529522628822459,2454914.434756945,2454950.338657408,10.219835126054992
ACT-CLJ0233.2+0211,52.0,177.0,6.0,7.0,38.36344833333588,2.207237068512876,0.001076460675794977,0.0026403071050646737,52.00000214005152,177.0000011370614,2.9999902597424826,2.9999860591549194,0.0,1.3976775291258318E-5,3.2630404945544935,50.869697706770346,178.31763441104155,7.25080552498163,2.4933117852974607,0.32007036747762446,0.018726133501095952,2.9342193603515625,0.0,-0.001718910876661539,5.47330710105598E-4,61.0,ACT-CLJ0233.2+0211,5.19601261948E-4,0.9901645846239284,0.035079226101116,0.0028577960676726,2957.700668729266,0.0078784683144879,1.0499158943197668,20.0,38.36501205851613,2.206136160875309,0.014053002,2.73,3.533589,0.10329717,5.07,0.0,134.6,7.87,5.69,146.4,02345+02230T,0,99.0,99.0,-,0,99.0,99.0,2009.2744,2454932.667198902,37.1190895196042,2454879.529780093,2454970.307407408,6.881189562566559
ACT-CLJ0245.7-0028,223.0,119.0,2.0,6.0,41.39832264804121,-0.5016078092626258,7.236563790542971E-4,0.0010607967612617762,222.99999998659382,118.99999989126839,3.000000092493171,3.000000059009833,0.0,9.125374627023163E-8,2.466426458066503,226.56996260134036,120.78268509556153,10.886941327122063,4.759716060007901,-0.37896304606033565,-0.003161000259611911,3.837841272354126,0.0,-6.198689807206392E-4,2.0131751080043614E-4,88.0,ACT-CLJ0245.7-0028,3.097064415408E-4,0.9959809323863452,-0.0049250865101495,0.0,2932.033444371892,-0.0073099129003205,1.0662784371408338,20.0,41.39844250289136,-0.5021472368471394,0.014053002,2.37,3.499104,0.120166205,6.02,1.33,47.9,8.47,6.04,38.2,02465-00390Z,2,5.6025376,19.387022,g,0,99.0,99.0,1999.2263,2451262.1167989313,1229.4551867809269,2450029.8087384263,2452495.0215277784,1.9892930342649235
ACT-CLJ0248.0-0331,173.0,172.0,2.0,3.0,42.013011801460344,-3.5288105550597826,1.4414547275228319E-4,0.0014375158088162474,172.99999972708767,171.9999996386818,2.9999991091204756,2.9999989447700113,0.0,-3.4398423780083397E-6,11.544954177318015,172.96555888590774,171.6389324162074,2.949708955243331,2.255524042255403,0.4413846447785053,-0.00441710140277515,14.154687881469727,0.0,2.8928567189723253E-5,1.1749441182473674E-4,92.0,ACT-CLJ0248.0-0331,3.445120954961E-4,0.9683057449570316,0.0070139275935541,0.0019055967376183,3046.447120326613,-0.0031478979615967,1.014941025848138,20.0,42.01411916977089,-3.5290639752708546,0.014053002,38.67,41.36744,0.120004795,1.76,1.26,120.8,6.56,5.64,176.6,02495-03412T,1,0.5949554,15.494929,g,1,0.4440241,14.116,2009.275,2454932.899636191,2.631544130719497,2454932.38556713,2454946.3726851856,4.0822164978399575
ACT-CLJ0248.3-0337,166.0,255.0,2.0,3.0,42.09002809037704,-3.5725880469160702,9.025869262778792E-4,0.004309970267680367,165.9999998609676,254.99999990491125,2.999996150643907,2.999995730465914,0.0,-3.7847585366089897E-7,14.93622360481461,166.5328839968942,255.47156683281258,2.8540543168900094,2.660565475194585,-0.46574721838658817,-0.008222268174018037,17.711381912231445,0.0,1.1521515261847526E-4,2.4595129070803523E-4,96.0,ACT-CLJ0248.3-0337,3.550118055737E-4,1.056046146173353,-0.0148106973355011,0.017152495211595,2988.841378866294,0.0034770250491019,1.0329748915958987,20.0,42.091218345122,-3.573777808672343,0.014053002,8.78,8.502087,0.12485273,1.64,0.0,85.4,5.94,5.63,11.0,02495-03412T,1,0.18827783,17.09985,g,1,0.1700464,14.901,2009.2692,2454930.7663951376,7.998345887568538,2454913.460682871,2454946.3726851856,6.0526445916275815
ACT-CLJ0839.5-0140,254.0,125.0,4.0,5.0,129.82928325250154,-1.7006059666605922,9.614966130798211E-4,0.0022277692451162607,254.00000005640553,125.00000011702897,3.0000003780668214,3.000000734035871,0.0,4.7545288880302684E-6,3.9653582905688394,254.44287041463187,125.02073249557539,4.655413659013777,5.99386396972874,1.1193168706122487,0.02234949792498151,4.1262054443359375,0.0,-0.0013930301647633314,3.426605835556984E-4,110.0,ACT-CLJ0839.5-0140,3.476235608672E-4,1.0258801466065952,0.0612695629423467,0.0590628066264658,3005.647058613049,0.0705720349176723,1.035257694778398,20.0,129.82630963025642,-1.698211064238015,0.014053002,11.52,38.46474,0.2001847,12.56,5.52,98.2,13.68,8.43,99.0,08390-01440G,0,99.0,99.0,-,0,99.0,99.0,1998.6586,2451054.882487626,1.2038697845380595,2451050.2221527784,2451056.159594908,13.741540087448346
